M,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,383,338752564,0%,2,1
2,2,Arijit Singh,413,276330699,-0.04%,2,1
3,3,Udit Narayan,404,258976955,0.02%,2,1
4,4,Kumar Sanu,379,194818723,-0.05%,2,1
5,5,Peso Pluma,60,178648540,0.01%,2,1
6,8,Shreya Ghoshal,385,153754525,0.06%,2,1
7,7,Bad Bunny,378,150373293,-0.02%,2,1
8,6,Shilpi Raj,159,143203064,-0.08%,2,1
9,10,The Weeknd,399,126191197,0.02%,2,1
10,9,Taylor Swift,413,125988888,-0.03%,2,1
11,11,KAROL G,331,124303460,0.01%,2,1
12,12,Lata Mangeshkar,396,120739645,0%,2,1
13,13,Pawan Singh,316,105004770,-0.12%,2,1
14,15,Xavi,11,100309808,0.05%,2,1
15,24,Feid,125,98594629,0.23%,2,1
16,40,Ariana Grande,413,97974203,0.62%,2,1
17,14,Khesari Lal Yadav,298,97152697,-0.13%,2,1
18,17,Fuerza Regida,97,96629030,0.02%,2,1
19,16,Sonu Nigam,369,96609623,0.01%,2,1
20,19,Junior H,152,90156682,-0.01%,2,1
21,18,Carin Leon,154,89677347,-0.05%,2,1
22,20,Eminem,413,88610152,-0.01%,2,1
23,23,Shakira,413,84777674,0.02%,2,1
24,21,Anuel AA,296,83732473,-0.02%,2,1
25,22,Grupo Frontera,69,82874056,-0.02%,2,1
26,53,Pritam,143,80296448,0.50%,2,1
27,26,Maluma,413,67420454,-0.01%,2,1
28,32,Ed Sheeran,413,65935497,0.03%,2,1
29,25,Jubin Nautiyal,245,65547594,-0.06%,2,1
30,27,Myke Towers,246,65365774,-0.01%,2,1
31,37,Anirudh Ravichander,163,64987206,0.06%,2,1
32,30,Ozuna,384,64622868,-0.01%,2,1
33,39,Grupo Firme,176,64121374,0.06%,2,1
34,34,BTS,413,63543191,0.03%,2,1
35,79,Bizarrap,173,63245482,0.39%,2,1
36,28,Maria Becerra,154,63211488,-0.04%,2,1
37,31,Justin Bieber,413,62035763,-0.04%,2,1
38,33,Natanael Cano,121,61963331,-0.01%,2,1
39,29,Neelkamal Singh,95,60573699,-0.07%,2,1
40,35,Drake,390,59576039,-0.03%,2,1
41,36,Neha Kakkar,380,59081981,-0.04%,2,1
42,38,Anitta,303,58615364,-0.04%,2,1
43,42,Rihanna,413,58501091,-0.02%,2,1
44,44,B Praak,222,58083341,0%,2,1
45,48,Daddy Yankee,413,57849641,0.03%,2,1
46,45,Anuradha Paudwal,339,57693056,0%,2,1
47,54,Vishal Mishra,49,56678055,0.06%,2,1
48,41,MC Ryan SP,116,56324067,-0.07%,2,1
49,43,Sunidhi Chauhan,326,56069468,-0.04%,2,1
50,46,Rauw Alejandro,229,56010217,-0.03%,2,1
51,50,Doja Cat,194,55655362,0.02%,2,1
52,58,Romeo Santos,413,55241675,0.06%,2,1
53,52,J Balvin,413,53719082,-0.01%,2,1
54,68,Dua Lipa,337,52160511,0.10%,2,1
55,61,Lady Gaga,296,51902814,0.02%,2,1
56,60,Farruko,344,51468283,0%,2,1
57,56,BLACKPINK,335,51359482,-0.02%,2,1
58,59,Coldplay,413,51166164,-0.01%,2,1
59,47,Shivani Singh,46,50676722,-0.11%,2,1
60,51,Ana Castela,80,50543909,-0.07%,2,1
61,65,Shilpa Rao,54,50540801,0.04%,2,1
62,63,Henrique & Juliano,338,50156158,0.01%,2,1
63,64,Imagine Dragons,387,50062670,0.02%,2,1
64,n/a,Nicki Nicole,117,49729348,n/a,2,1
65,62,Chris Brown,395,49164070,-0.01%,2,1
66,55,S. P. Balasubrahmanyam,210,49147464,-0.07%,2,1
67,73,Shubh,67,49100307,0.06%,2,1
68,69,Kavita Krishnamurthy,258,48675716,0.03%,2,1
69,49,Vishal Dadlani,174,48651947,-0.11%,2,1
70,67,Bruno Mars,413,48508434,0.02%,2,1
71,74,Alan Walker,383,48121528,0.04%,2,1
72,57,Jere Klein,49,47733835,-0.09%,2,1
73,78,Billie Eilish,287,46728804,0.02%,2,1
74,70,Arcángel,230,46599158,-0.01%,2,1
75,77,Sidhu,169,46174220,0%,2,1
76,n/a,Young Miko,42,45676826,n/a,2,1
77,66,Travis Scott,258,45530192,-0.05%,2,1
78,80,Sia,398,45341024,0.01%,2,1
79,72,Jung Kook,41,45300569,-0.03%,2,1
80,76,Adele,316,45084772,-0.02%,2,1
81,83,Lana Del Rey,164,44836605,0.03%,2,1
82,71,Kishore Kumar,266,44315218,-0.05%,2,1
83,82,Post Malone,357,43862362,-0.01%,2,1
84,81,Katy Perry,413,43435299,-0.02%,2,1
85,84,Stray Kids,156,43309319,0%,2,1
86,n/a,21 Savage,73,42827771,n/a,2,1
87,75,MC PH,19,42214741,-0.09%,2,1
88,93,Himesh Reshammiya,236,41674370,0.04%,2,1
89,85,David Guetta,400,40749619,-0.04%,2,1
90,95,Linkin Park,411,40576999,0.02%,2,1
91,86,Marshmello,380,40407968,-0.04%,2,1
92,92,Michael Jackson,413,40200403,0%,2,1
93,87,YOASOBI,132,39928622,-0.05%,2,1
94,89,Gabito Ballesteros,43,39629179,-0.04%,2,1
95,88,Yo Yo Honey Singh,297,39357314,-0.05%,2,1
96,n/a,YoungBoy Never Broke Again,332,39302135,n/a,2,1
97,99,Gusttavo Lima,285,38888100,0%,2,1
98,n/a,Tiago PZK,143,38875894,n/a,2,1
99,98,Atif Aslam,310,38603340,-0.02%,2,1
100,96,Mohammed Rafi,221,38573873,-0.03%,2,1
